baseline,fold,ticker,CAGR,AnnVol,Sharpe,Sortino,MaxDrawdown,Calmar,WinRate,FinalEquity,TotalReturn,Turnover,Gross_CAGR,Gross_AnnVol,Gross_Sharpe,Gross_Sortino,Gross_MaxDrawdown,Gross_Calmar,Gross_WinRate,Gross_FinalEquity,Gross_TotalReturn,params
ARIMAX,0,NVDA,0.010736249990522362,0.1811911851209623,0.14858555376903715,0.21837275974183756,-0.34652381500313045,0.03098271901002063,0.47106109324758844,105457.81887309169,0.05457818873091691,0.4070713578397477,0.085938095954744,0.1814012163730841,0.5442619519107432,0.7987617211456752,-0.23920354578673642,0.35926765078709455,0.499194847020934,150720.67938812292,0.5072067938812292,"{'p': 1, 'd': 1, 'q': 2, 'trend': 'n'}"
ARIMAX,0,AAPL,-0.09901977735708967,0.1165924528022009,-0.8364108869723059,-1.072798812999098,-0.406831510657614,-0.24339259561539686,0.44212218649517687,59518.84539058589,-0.40481154609414105,0.3536662073988301,-0.04098166548751814,0.1164324198558379,-0.30174136998021345,-0.3783742093789244,-0.24015193792983525,-0.17064890602503352,0.49879129734085415,81202.09667683719,-0.18797903323162812,"{'p': 0, 'd': 1, 'q': 1, 'trend': 'n'}"
ARIMAX,0,MSFT,0.002045887658654655,0.09717282714488394,0.06928524527469387,0.09873734748194321,-0.14835499792842577,0.013790486921389048,0.4654340836012862,101022.2220100068,0.010222220100067902,0.3196749574031012,0.06017693522858436,0.09710580325297144,0.6500466865428479,0.9102974600748843,-0.09514676430557867,0.632464337256039,0.5285599356395817,133748.0663111374,0.33748066311137404,"{'p': 2, 'd': 0, 'q': 0, 'trend': 'n'}"
ARIMAX,0,JPM,-0.10954611522731961,0.09296020600185584,-1.2011131561405586,-1.3686184853136458,-0.46522691416101647,-0.23546813800502814,0.43488745980707394,56137.99435352052,-0.43862005646479485,0.3631217861748746,-0.050612952391578925,0.09289343766437272,-0.5124263300180787,-0.5714393195784851,-0.3107065201533098,-0.1628963317750954,0.49396621078037006,77224.2281335489,-0.227757718664511,"{'p': 1, 'd': 1, 'q': 2, 'trend': 'n'}"
ARIMAX,0,BAC,-0.177330591439249,0.10042655349982002,-1.8922864607804863,-2.026612656118876,-0.6359902464225284,-0.2788259606758766,0.41479099678456594,37856.91192380009,-0.621430880761999,0.34949727510772843,-0.12494347324502963,0.1000325964574517,-1.2834265300327468,-1.3461408184239516,-0.5267805810819703,-0.23718314177110422,0.46116504854368934,51470.766372121456,-0.48529233627878543,"{'p': 1, 'd': 1, 'q': 2, 'trend': 'n'}"
ARIMAX,0,MS,-0.17750303483179986,0.10744681590500675,-1.7640057678682506,-1.9944559001371687,-0.635494792424421,-0.27931469611989024,0.4228295819935691,37817.440535168025,-0.6218255946483198,0.3574940696217286,-0.12389558148715352,0.10713532160294792,-1.1805149526965808,-1.312000720840563,-0.5315529296297752,-0.23308230390799722,0.47381144238517325,51778.214532786194,-0.48221785467213807,"{'p': 0, 'd': 1, 'q': 1, 'trend': 'n'}"
ARIMAX,0,CAT,-0.13769234518964657,0.10292585443461638,-1.3872449533633828,-1.6151624324336413,-0.5563594209966578,-0.24748811648230132,0.4180064308681672,47845.71603603832,-0.5215428396396168,0.358022023685289,-0.0814087993894742,0.10252244272885233,-0.7766912788797748,-0.88970447199692,-0.4147654329042213,-0.19627672156631562,0.47106109324758844,65537.4358200088,-0.34462564179991195,"{'p': 0, 'd': 1, 'q': 1, 'trend': 'n'}"
ARIMAX,0,RTX,-0.06048729963662891,0.0886909434219134,-0.6590096846962727,-0.780315611058562,-0.33245072149528454,-0.18194365578324323,0.4252411575562701,73309.19511760987,-0.2669080488239013,0.37807815105717407,0.004321020993469871,0.08866074097428359,0.09299262668001862,0.10608302046556863,-0.13121359574746583,0.03293119869823645,0.4991896272285251,102168.77340668892,0.021687734066889286,"{'p': 0, 'd': 1, 'q': 1, 'trend': 'n'}"
ARIMAX,0,BA,-0.09547702063997066,0.13269125437893514,-0.6893334039786159,-0.7722438953705838,-0.440178084937043,-0.21690543874674353,0.452572347266881,60692.58724524176,-0.3930741275475824,0.33347146617426976,-0.040652438143556346,0.13268849019783693,-0.24602094256563278,-0.26940784825106007,-0.28202754585221024,-0.1441435020849321,0.4975845410628019,81340.90951542818,-0.18659090484571816,"{'p': 0, 'd': 1, 'q': 1, 'trend': 'n'}"
RandomForest,0,NVDA,-0.10186907953463498,0.2000618523044018,-0.4365337859392057,-0.5463696199820092,-0.4589483888859355,-0.22196195040996855,0.4429260450160772,58588.07144754842,-0.4141192855245158,0.3379524080113387,-0.04668317650345133,0.20012187172147564,-0.13851036269453385,-0.17207113294905543,-0.37396566693462063,-0.12483278715426252,0.4677938808373591,78828.02345849069,-0.2117197654150932,"{'n_estimators': 150, 'max_depth': 7, 'min_samples_leaf': 45, 'max_features': 0.5}"
