baseline,fold,ticker,CAGR,AnnVol,Sharpe,Sortino,MaxDrawdown,Calmar,WinRate,FinalEquity,TotalReturn,Turnover,Gross_CAGR,Gross_AnnVol,Gross_Sharpe,Gross_Sortino,Gross_MaxDrawdown,Gross_Calmar,Gross_WinRate,Gross_FinalEquity,Gross_TotalReturn,test_start,test_end,params
RandomForest,0,NVDA,-0.0298497794868555,0.2349156086666639,-0.0116604544776696,-0.0149966613265174,-0.3464101587401327,-0.0861688917998735,0.4942660550458715,89936.59756772972,-0.1006340243227027,0.2400774708070593,0.012082339165865,0.2351011987878475,0.1684825228184293,0.2153416908750271,-0.3357225135371762,0.0359890644168168,0.5103926096997691,104293.07265201466,0.0429307265201466,2008-06-18,2011-12-14,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_leaf': 24, 'max_features': 'sqrt'}"
RandomForest,0,AAPL,0.1256732058171501,0.1411305581991196,0.9089606610085966,1.326721335041226,-0.1679334462496243,0.7483512583332771,0.4942660550458715,151336.31358583664,0.5133631358583663,0.2324827352626498,0.172751550174335,0.1412611454825532,1.1984334361101738,1.7353696486481809,-0.1661771547054683,1.0395625709232967,0.5154994259471871,174671.09985449252,0.7467109985449252,2008-06-18,2011-12-14,"{'n_estimators': 200, 'max_depth': 7, 'min_samples_leaf': 26, 'max_features': 'sqrt'}"
RandomForest,0,MSFT,0.0547470610572751,0.1640196258797344,0.4047558379189118,0.633118127079828,-0.1727104464604547,0.3169875486935902,0.4644495412844037,120508.90320194769,0.2050890320194769,0.2631385121981111,0.1048393263789562,0.1640623126076045,0.6875773775641414,1.0456643934838674,-0.1653345604051469,0.6341041227076231,0.5156431054461182,141757.79048207134,0.4175779048207135,2008-06-18,2011-12-14,"{'n_estimators': 450, 'max_depth': 7, 'min_samples_leaf': 23, 'max_features': 0.5}"
RandomForest,0,JPM,0.1594876921556787,0.2656203661121045,0.6887731220298676,0.927526921694368,-0.2339677209486298,0.6816653660984968,0.463302752293578,167853.92481715544,0.6785392481715544,0.2182700157136176,0.2049592346096305,0.2656799943569143,0.833540365542655,1.1043091752420104,-0.2320238426988272,0.8833541942311193,0.4873271889400922,192045.10428429375,0.9204510428429376,2008-06-18,2011-12-14,"{'n_estimators': 300, 'max_depth': 4, 'min_samples_leaf': 49, 'max_features': 'log2'}"
RandomForest,0,BAC,-0.1627304352119112,0.4281240713312305,-0.1931234476000227,-0.2036394581553996,-0.6617908386598622,-0.2458940585237522,0.4908256880733945,53706.712148752624,-0.4629328785124738,0.1444199390307408,-0.1411114469709496,0.4281319614925049,-0.133615624518199,-0.1376711459164786,-0.6471178425692496,-0.218061437482075,0.5168018539976825,58719.02710355235,-0.4128097289644765,2008-06-18,2011-12-14,"{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 5, 'max_features': 'log2'}"
RandomForest,0,MS,0.2072196353886133,0.4520790556423379,0.618840830243264,0.9627826135296172,-0.4528984467964059,0.457541059931623,0.4564220183486238,193308.97460052455,0.9330897460052456,0.1967229320903284,0.2498380906029293,0.4520330443468572,0.6956723790058368,1.063550915843309,-0.4518422329996006,0.5529321350604034,0.476905311778291,218267.03402815628,1.1826703402815628,2008-06-18,2011-12-14,"{'n_estimators': 200, 'max_depth': 8, 'min_samples_leaf': 14, 'max_features': 'log2'}"
RandomForest,0,CAT,-0.1546023347799776,0.1896765976367437,-0.7903107125113318,-0.9691502092565186,-0.481438869261359,-0.3211255772039639,0.463302752293578,55553.78507293878,-0.4444621492706122,0.1925961563056085,-0.1253689328094142,0.1896786965981785,-0.6111887477711828,-0.7398640505094328,-0.4230063775868292,-0.296375987342366,0.4902411021814007,62573.02466654962,-0.3742697533345037,2008-06-18,2011-12-14,"{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 44, 'max_features': 'log2'}"
RandomForest,0,RTX,0.0358296023152391,0.1435268420252069,0.316275788275989,0.4258412482171665,-0.2351370298902649,0.1523775405854207,0.4506880733944954,113112.11265146769,0.1311211265146767,0.2103978581094026,0.0749756621872528,0.1436091901228885,0.5745331980507702,0.7488256134985518,-0.171600658465528,0.4369194317649677,0.4994232987312572,128793.8753912453,0.2879387539124529,2008-06-18,2011-12-14,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_leaf': 36, 'max_features': 0.5}"
RandomForest,0,BA,-0.0274503244820584,0.1619796492885679,-0.0913725460471339,-0.1153991386666731,-0.3141109158377312,-0.0873905461351084,0.4724770642201835,90717.54242973209,-0.0928245757026791,0.2099798432348588,0.0092741372594373,0.161839165727029,0.1374200817422805,0.1701909925480879,-0.2604844925057031,0.0356034141235272,0.503448275862069,103283.75194170712,0.0328375194170713,2008-06-18,2011-12-14,"{'n_estimators': 450, 'max_depth': 4, 'min_samples_leaf': 13, 'max_features': 0.5}"
LSTM,0,NVDA,-0.0700093836591762,0.2283717052906373,-0.2035579421562924,-0.2543552696288862,-0.4401971961421547,-0.1590409577178855,0.4839449541284403,77566.64063541444,-0.2243335936458556,0.1418987004372073,-0.0464334592017783,0.2283953767997887,-0.0939421100339099,-0.1167034657105921,-0.42614499792362,-0.1089616431684616,0.4953810623556582,84669.79606874622,-0.1533020393125378,2008-06-18,2011-12-14,"{'lookback': 20, 'hidden_size': 64, 'num_layers': 1, 'dropout': 0.1827221590301234, 'lr': 0.0006612380098612828, 'epochs': 24}"
