baseline,fold,ticker,CAGR,AnnVol,Sharpe,Sortino,MaxDrawdown,Calmar,WinRate,FinalEquity,TotalReturn,Turnover,Gross_CAGR,Gross_AnnVol,Gross_Sharpe,Gross_Sortino,Gross_MaxDrawdown,Gross_Calmar,Gross_WinRate,Gross_FinalEquity,Gross_TotalReturn,params
RandomForest,0,NVDA,-0.030884479923349,0.1784629691712657,-0.0873079409293547,-0.1259959704594364,-0.2748921742634271,-0.1123512519267016,0.4469453376205787,85546.47823377728,-0.1445352176622272,0.2873012833479887,0.0194773922990705,0.1786151368299472,0.196504689552259,0.2829556108368562,-0.2386435017746463,0.0816171073347023,0.4734299516908212,110074.95849332718,0.1007495849332718,"{'n_estimators': 200, 'max_depth': 3, 'min_samples_leaf': 50, 'max_features': 'log2'}"
RandomForest,0,AAPL,0.0237769641746372,0.1246441214950264,0.2490943084522144,0.3700370331290688,-0.2075492243530633,0.1145606024245608,0.4573954983922829,112404.52173557958,0.1240452173557957,0.1718190852461064,0.0552698958371604,0.1247225824001777,0.4919480233898937,0.7220129122419144,-0.1603698217285721,0.344640252395525,0.4907332796132151,130695.7514213863,0.3069575142138629,"{'n_estimators': 350, 'max_depth': 4, 'min_samples_leaf': 7, 'max_features': 'log2'}"
RandomForest,0,MSFT,0.0255418655488295,0.0954958908220335,0.3116062774422409,0.4378423769534852,-0.109650697915587,0.2329384676465312,0.4590032154340836,113372.09602105198,0.1337209602105198,0.1726610245192215,0.0572620712424918,0.0954170593629513,0.6310666475921114,0.8820464204652256,-0.108121252966381,0.529609763774165,0.4891391794046661,131928.1536528781,0.3192815365287811,"{'n_estimators': 450, 'max_depth': 4, 'min_samples_leaf': 13, 'max_features': 0.5}"
RandomForest,0,JPM,-0.036566729331361,0.1003436597579097,-0.3207216704555877,-0.3557495124468193,-0.2170574154005417,-0.1684656995656358,0.4742765273311897,83079.40904071876,-0.1692059095928123,0.2118390163818619,0.0001367665088858,0.1001865675385726,0.0517635890717569,0.0560772230014054,-0.1995905235520028,0.000685235483388,0.5189058728881738,100068.07612760551,0.0006807612760553,"{'n_estimators': 200, 'max_depth': 6, 'min_samples_leaf': 37, 'max_features': 0.5}"
RandomForest,0,BAC,-0.0722867354738058,0.1009190572735345,-0.6929206437940203,-0.8836254315403871,-0.3620381266453495,-0.1996660852922197,0.4461414790996784,68840.60743932375,-0.3115939256067624,0.2668617446138189,-0.027551406630994,0.1008268185347173,-0.2266707084416838,-0.2848866522800686,-0.2576538174133413,-0.1069318782372035,0.4830097087378641,87020.61565522444,-0.1297938434477556,"{'n_estimators': 500, 'max_depth': 7, 'min_samples_leaf': 49, 'max_features': 'log2'}"
RandomForest,0,MS,-0.0231774084180856,0.1150967395222756,-0.1462114949377417,-0.1855355851493878,-0.2377776674718381,-0.0974751273511873,0.4590032154340836,88985.85132937253,-0.1101414867062747,0.2279194530266942,0.0169057722308865,0.1150344256561641,0.2032132992585115,0.2545664826151818,-0.1605401384282336,0.1053055790059874,0.491539081385979,108700.16724053596,0.0870016724053597,"{'n_estimators': 200, 'max_depth': 6, 'min_samples_leaf': 44, 'max_features': 0.5}"
RandomForest,0,CAT,-0.0145718048454558,0.1172290804524154,-0.0668141356691991,-0.0869936123888073,-0.2770817773982182,-0.0525902676902257,0.4782958199356913,92955.84583880172,-0.0704415416119828,0.2214968167221291,0.0246965870433137,0.1172053255247527,0.2665363424758623,0.34367397948284,-0.2056754150999468,0.1200755424818888,0.5064308681672026,112907.86094688266,0.1290786094688265,"{'n_estimators': 150, 'max_depth': 7, 'min_samples_leaf': 43, 'max_features': 'sqrt'}"
RandomForest,0,RTX,-0.0858372921063237,0.0895943104844805,-0.9565994380655618,-1.0789609836311032,-0.3928223657104452,-0.2185142690413803,0.452572347266881,63980.18860623714,-0.3601981139376286,0.2339462639067744,-0.0473040947076149,0.0895255721051035,-0.4963693061687488,-0.5470053840923196,-0.2631996465935458,-0.1797270449252,0.5,78572.86357084785,-0.2142713642915215,"{'n_estimators': 300, 'max_depth': 4, 'min_samples_leaf': 49, 'max_features': 'log2'}"
RandomForest,0,BA,0.0181828733903468,0.142810582063888,0.1977352904130762,0.2198463683662662,-0.1906134860281118,0.0953913270736008,0.4927652733118971,109381.18138657758,0.0938118138657757,0.1473195439487426,0.0450057912640997,0.1427135264553248,0.3799629987280601,0.4164303588688763,-0.1833309808789287,0.2454892841806233,0.5209339774557166,124491.09277410666,0.2449109277410666,"{'n_estimators': 400, 'max_depth': 4, 'min_samples_leaf': 13, 'max_features': 'sqrt'}"
LSTM,0,NVDA,-0.0040001063977439,0.1980263828085381,0.0779905660299526,0.1060225022891361,-0.3971618998266798,-0.01007172742272,0.502411575562701,98025.23803646484,-0.0197476196353515,0.0956484855853232,0.0129451502162649,0.1980445283978759,0.163178366010841,0.2213855916780807,-0.3787429887811508,0.0341792471404535,0.5080515297906603,106609.6822645504,0.0660968226455041,"{'lookback': 20, 'hidden_size': 16, 'num_layers': 2, 'dropout': 0.13204574812188039, 'lr': 0.000161190447276092, 'epochs': 20}"
LSTM,0,AAPL,-0.0215717495277698,0.1185154750811577,-0.1257678522276112,-0.179180575193727,-0.2422762977422274,-0.0890378040641902,0.4734726688102894,89716.10675738925,-0.1028389324261075,0.1489452694760951,0.0044790986113205,0.1185092730985917,0.0959292760949865,0.1349570439894901,-0.1828699926236603,0.0244933493300805,0.5052377115229654,102248.82111536468,0.0224882111536468,"{'lookback': 20, 'hidden_size': 64, 'num_layers': 2, 'dropout': 0.20481222418462974, 'lr': 0.0015813854184041566, 'epochs': 17}"
LSTM,0,MSFT,0.0214435272893942,0.09836778736667,0.2647401895097567,0.362500607717906,-0.122592446170368,0.1749171988916344,0.4823151125401929,111135.39926311176,0.1113539926311175,0.1021845636937167,0.0400185264390984,0.0983864133026265,0.4478998900908495,0.6086994426318173,-0.1139907606978793,0.3510681584550817,0.500402252614642,121562.5043673988,0.2156250436739879,"{'lookback': 20, 'hidden_size': 16, 'num_layers': 2, 'dropout': 0.19870968952909152, 'lr': 0.0008128484055802077, 'epochs': 25}"
LSTM,0,JPM,0.0284062299477072,0.0820432284193438,0.3822621315668876,0.5586642943701077,-0.1761207917394583,0.1612883389130431,0.47508038585209,114956.58629892013,0.1495658629892011,0.1022824538039342,0.0471292649855179,0.0820194062199777,0.6023531076867,0.8744989028796987,-0.1594234544158637,0.2956231575724047,0.49798873692679,125755.0079990567,0.257550079990567,"{'lookback': 20, 'hidden_size': 16, 'num_layers': 2, 'dropout': 0.07309949089943432, 'lr': 0.00043787632821536517, 'epochs': 18}"
LSTM,0,BAC,-0.0699478919880335,0.1037355015710271,-0.6469264846278712,-0.7568745832905426,-0.4274701008201174,-0.1636322443460627,0.4807073954983923,69708.57965197561,-0.3029142034802439,0.0919080964945555,-0.0547340466846327,0.1036570133846569,-0.4910102411685688,-0.5687367903336089,-0.3946568387337746,-0.1386876934914966,0.5008090614886731,75570.47044352858,-0.2442952955647142,"{'lookback': 20, 'hidden_size': 16, 'num_layers': 2, 'dropout': 0.18882150476478288, 'lr': 0.00010262682353792053, 'epochs': 24}"
LSTM,0,MS,-0.0530197252597191,0.0977057209289247,-0.5086324589710017,-0.6487095784828312,-0.4142044196633159,-0.1280037651525204,0.4646302250803859,76254.93858175584,-0.2374506141824416,0.0911594618822344,-0.0376643245085839,0.0976937234305823,-0.3440934671660196,-0.4361231063293706,-0.3837617275555978,-0.0981450775419684,0.4842868654311039,82609.48540500455,-0.1739051459499544,"{'lookback': 20, 'hidden_size': 16, 'num_layers': 2, 'dropout': 0.17750509077901788, 'lr': 0.00010331997911891609, 'epochs': 25}"
LSTM,0,CAT,-0.0143625803885456,0.1072983426131024,-0.0811674635592346,-0.1053980298102732,-0.3080836907285423,-0.0466190870233399,0.4734726688102894,93054.09853735988,-0.0694590146264011,0.0875935906254912,0.0009898674641832,0.1072621092658926,0.0628588708395402,0.0810817288137736,-0.2848895304285251,0.0034745659578796,0.4895498392282958,100493.54722430094,0.0049354722430094,"{'lookback': 20, 'hidden_size': 64, 'num_layers': 2, 'dropout': 0.12958350559263473, 'lr': 0.0003124565071260876, 'epochs': 22}"
LSTM,0,RTX,-0.1226685635685477,0.0885994038914236,-1.4321082716966231,-1.483281266194258,-0.4857587966790276,-0.2525297831088024,0.4453376205787781,52140.08100624727,-0.4785991899375273,0.1568753138951805,-0.0980211940429306,0.0883800490954073,-1.12255124119798,-1.133682318415885,-0.414817760780798,-0.2362994146114393,0.4886547811993517,59847.8314466911,-0.401521685533089,"{'lookback': 20, 'hidden_size': 32, 'num_layers': 2, 'dropout': 0.19139152656331826, 'lr': 0.0009318450626771157, 'epochs': 25}"
LSTM,0,BA,-0.041852751351837,0.1276625917465251,-0.2707770014925594,-0.3011326234570616,-0.2927574516260948,-0.1429604989364737,0.4823151125401929,80835.73162259912,-0.1916426837740087,0.1819234774278607,-0.0105707329863322,0.1274329816385913,-0.0194360388164077,-0.0212039885575523,-0.2690394577816573,-0.0392906418764458,0.5185185185185185,94849.19502344362,-0.0515080497655637,"{'lookback': 20, 'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1821715222169758, 'lr': 0.0006671870700303824, 'epochs': 25}"
TCN,0,NVDA,-0.0181206313628559,0.1902488644016928,-0.0017694354524254,-0.0025672533907413,-0.5160322488114344,-0.035115308015328,0.4638263665594855,91301.88950693097,-0.0869811049306904,0.2883238040008175,0.033079793878656,0.190429309571689,0.2653146516884681,0.38252225202933,-0.43777340348796,0.075563735976404,0.4919484702093398,117579.82661185204,0.1757982661185204,"{'lookback': 20, 'n_channels': 16, 'n_layers': 2, 'kernel_size': 3, 'dropout': 0.09715537545088834, 'lr': 0.00039755995225368863, 'epochs': 10}"
TCN,0,AAPL,-0.0505534626249986,0.1012363058664993,-0.4617570567875381,-0.5772436514487184,-0.3131849909151148,-0.1614172584621097,0.45016077170418,77248.3107482408,-0.2275168925175921,0.3118613629563209,0.0031587322450574,0.1011328873377173,0.0817317294712954,0.1002994242127936,-0.235362536198078,0.0134207095831051,0.4963738920225624,101581.74728152584,0.0158174728152584,"{'lookback': 20, 'n_channels': 16, 'n_layers': 1, 'kernel_size': 5, 'dropout': 0.07488759925235682, 'lr': 0.00030853038856240605, 'epochs': 29}"
TCN,0,MSFT,-0.0536308418354605,0.0932307665582996,-0.5446980081142546,-0.7131617677875124,-0.3401315441708236,-0.157676765811893,0.4606109324758842,76010.37549363895,-0.2398962450636105,0.2674738154733079,-0.0079042194308057,0.093258163716264,-0.038605004069488,-0.0498814863293901,-0.2487217431363192,-0.0317793664966139,0.504424778761062,96128.0361320808,-0.038719638679192,"{'lookback': 20, 'n_channels': 64, 'n_layers': 2, 'kernel_size': 3, 'dropout': 0.2988049595242306, 'lr': 0.00028056595572086414, 'epochs': 26}"
