baseline,fold,ticker,CAGR,AnnVol,Sharpe,Sortino,MaxDrawdown,Calmar,WinRate,FinalEquity,TotalReturn,Turnover,Gross_CAGR,Gross_AnnVol,Gross_Sharpe,Gross_Sortino,Gross_MaxDrawdown,Gross_Calmar,Gross_WinRate,Gross_FinalEquity,Gross_TotalReturn,test_start,test_end
RandomForest,0,NVDA,0.0932276512674878,0.2164370046383138,0.5160818068601455,0.801868919095002,-0.2290431862870812,0.4070308869639849,0.4849589790337283,147927.92666903668,0.4792792666903667,0.1867843024403955,0.1298444042442676,0.2164031112994229,0.6684190005728914,1.0280173319307095,-0.208819978058169,0.6218006794737723,0.5082872928176796,170963.46337409926,0.7096346337409927,2003-12-30,2008-05-22
RandomForest,0,AAPL,-0.0986553416501649,0.167373031893284,-0.5370733374137655,-0.6730292323837811,-0.4548595346589699,-0.2168918844894208,0.4658158614402917,63363.9322447848,-0.3663606775521519,0.2054616119754767,-0.0653645511127508,0.1673100512941574,-0.3206511746577056,-0.3964459342699777,-0.3794672291548482,-0.1722534809088289,0.4940421631530706,74308.00361387577,-0.2569199638612423,2003-12-30,2008-05-22
RandomForest,0,MSFT,-0.0414531537293084,0.0928889016617558,-0.4091172521951888,-0.4669750227074091,-0.1976101602601745,-0.2097723805027587,0.4402917046490428,83029.0446609685,-0.169709553390315,0.2300988251988377,-0.0017390008936498,0.0928650839896341,0.0278574082598908,0.0302951906161678,-0.1516012755571193,-0.011470885632454,0.5004659832246039,99238.3322544658,-0.0076166774553418,2003-12-30,2008-05-22
RandomForest,0,JPM,-0.0977018464984114,0.0976287828406858,-1.003784212072121,-1.126771072286928,-0.3819785828217904,-0.2557783365147295,0.4284412032816773,63658.91466589115,-0.3634108533410884,0.2912579942659346,-0.0501095630311804,0.0975598632124056,-0.4778637355126894,-0.5188849995120263,-0.2527662017595802,-0.1982447126330694,0.4825688073394495,79785.31110079393,-0.2021468889920606,2003-12-30,2008-05-22
RandomForest,0,BAC,0.0083656097074575,0.074742472794448,0.1488467373483833,0.1879275418827262,-0.1305584589731984,0.0640755855518708,0.4494074749316317,103727.39467070853,0.0372739467070852,0.2767535304029447,0.0588124994408476,0.0746931393156586,0.8025435338385434,0.9747686346667744,-0.0945517515925011,0.6220138543209391,0.515179392824287,128536.53346040696,0.2853653346040694,2003-12-30,2008-05-22
RandomForest,0,MS,0.1476113190499761,0.1268950290619555,1.147476498229019,1.931344443641706,-0.0835398748691108,1.766956429863602,0.4603463992707384,183092.31495127603,0.8309231495127603,0.2298763376341153,0.1950584566668116,0.1270105460199253,1.4656991516289974,2.4201846853620212,-0.0818266129483934,2.383802159693833,0.5027472527472527,218755.75034661384,1.187557503466138,2003-12-30,2008-05-22
RandomForest,0,CAT,-0.0086559871162587,0.0955079722351464,-0.0432283959540339,-0.053975230182154,-0.1681726217001202,-0.0514708460197151,0.4658158614402917,96253.00037564928,-0.0374699962435073,0.2412608194942198,0.0344438881584125,0.0955055236702277,0.4023825077482135,0.4920347016441428,-0.1388336257800276,0.2480947102324228,0.510989010989011,116039.4008202588,0.1603940082025878,2003-12-30,2008-05-22
RandomForest,0,RTX,-0.0116575416202049,0.068765618151194,-0.1362576804649362,-0.1849248981926624,-0.1453994209838349,-0.0801759837922668,0.4658158614402917,94979.3443346286,-0.050206556653714,0.2610808948741016,0.0349373295998596,0.0685645264939584,0.535040903899552,0.7132663593342142,-0.1012016936401569,0.3452247521082636,0.5219378427787934,116282.75155947224,0.1628275155947225,2003-12-30,2008-05-22
RandomForest,0,BA,0.0549741816481972,0.0850598479605079,0.6715678254542266,0.9129284516897056,-0.1478194095141773,0.3719009690870443,0.4949863263445761,126502.190152358,0.2650219015235799,0.3109557377611304,0.1144418329454737,0.0850456270949402,1.316658517249394,1.7723939368078043,-0.1054973354384876,1.084784108241306,0.5347349177330896,160959.4434012072,0.6095944340120718,2003-12-30,2008-05-22
LSTM,0,NVDA,0.1040725518809926,0.1978122539146404,0.599454846246235,0.7758640786438493,-0.1835005807694026,0.5671510762779337,0.5150410209662717,154483.5965940928,0.5448359659409279,0.0749304297547515,0.1187545597892529,0.1978267062417165,0.6662257314425605,0.8554786170267243,-0.1803267896089869,0.6585519547414745,0.5294659300184162,163713.72688375012,0.6371372688375012,2003-12-30,2008-05-22
LSTM,0,AAPL,-0.1148675745527347,0.1697915647926528,-0.6328730730190303,-0.7297511862502223,-0.4768350276990081,-0.2408958400288547,0.4858705560619872,58507.941132538464,-0.4149205886746153,0.1182310728508648,-0.0961999803913516,0.1697652342715618,-0.5101194511569694,-0.5830941342251791,-0.4387383306049927,-0.2192650463402592,0.5041246562786434,64125.69619949586,-0.3587430380050413,2003-12-30,2008-05-22
LSTM,0,MSFT,-0.0852402775667479,0.0966748748039068,-0.8731800965711871,-1.035913378572029,-0.3576573727816604,-0.238329429374813,0.4339106654512306,67612.55194388451,-0.323874480561155,0.154798031684385,-0.059906502784194,0.0966570141627246,-0.5908335181139995,-0.6783689711518688,-0.2764932642563353,-0.2166653243626763,0.4762348555452004,76233.21736618402,-0.2376678263381597,2003-12-30,2008-05-22
