baseline,fold,ticker,CAGR,AnnVol,Sharpe,Sortino,MaxDrawdown,Calmar,WinRate,FinalEquity,TotalReturn,Turnover,Gross_CAGR,Gross_AnnVol,Gross_Sharpe,Gross_Sortino,Gross_MaxDrawdown,Gross_Calmar,Gross_WinRate,Gross_FinalEquity,Gross_TotalReturn,test_start,test_end
ARIMAX,0,NVDA,0.056012637826188705,0.19783214319366382,0.37428732098396783,0.4785936148398093,-0.2985330169394289,0.18762627464269196,0.5013673655423884,127050.1095120367,0.270501095120367,0.18949103116476293,0.09188981064610613,0.19788196782110004,0.5431130585637811,0.6847066254041989,-0.27101121613679613,0.33906275893660304,0.5267034990791897,147134.3491326767,0.4713434913267669,2003-12-30,2008-05-22
ARIMAX,0,AAPL,-0.12637296705858592,0.16043766348744137,-0.7617142641498479,-0.9621870162351007,-0.5052407599506997,-0.2501242517941686,0.4667274384685506,55240.01420004624,-0.4475998579995376,0.16937912035340275,-0.09985086919616559,0.16035712850932954,-0.575772220500602,-0.7198157222297009,-0.4521876489544787,-0.2208173297679289,0.4894592117323556,62995.56532563511,-0.37004434674364894,2003-12-30,2008-05-22
ARIMAX,0,MSFT,-0.04541295505510634,0.07794761893311651,-0.5570770714641227,-0.642388583574866,-0.19238600020062813,-0.2360512459729285,0.45031905195989064,81532.83312637737,-0.1846716687362263,0.369960907748503,0.018963134804834914,0.07799869566001058,0.2799825389281518,0.30930624118677286,-0.1216740196963968,0.15585196291001208,0.5191053122087604,108602.29465427758,0.08602294654277576,2003-12-30,2008-05-22
ARIMAX,0,JPM,-0.054389088574567035,0.08755558897272618,-0.5947206263824151,-0.6597821325478053,-0.26596384595620204,-0.20449805265458387,0.4603463992707384,78218.2998447868,-0.21781700155213202,0.38687925505267234,0.01242417929414974,0.0873524835937872,0.18516228971079646,0.19712157948587872,-0.11630554249469094,0.1068236218812777,0.5339449541284403,105573.94119349793,0.05573941193497922,2003-12-30,2008-05-22
ARIMAX,0,BAC,0.026002281912947955,0.08106970586115735,0.3568662255795568,0.5232544899521606,-0.08238843311052135,0.3156059768495264,0.4621695533272562,111936.83071615365,0.11936830716153657,0.16942592817283333,0.057132642865410865,0.08097031158335516,0.7264116009811045,1.0370780767796701,-0.06428800094617582,0.8886983888835543,0.5096596136154554,127643.10902689195,0.27643109026891954,2003-12-30,2008-05-22
ARIMAX,0,MS,0.0602496310939209,0.1173220073655686,0.5568769888729981,0.8127973987808375,-0.18485853082625336,0.3259229142665258,0.47219690063810393,129304.692390331,0.29304692390331,0.16844449046595317,0.09221608348609944,0.11733472352749644,0.8100546151301415,1.1627569876302657,-0.1386721389064105,0.664993590012597,0.5082417582417582,147327.58307344126,0.4732758307344125,2003-12-30,2008-05-22
ARIMAX,0,CAT,-0.14033372580885228,0.08502252125714986,-1.735280477534183,-1.9770924057605106,-0.5195452287894717,-0.27010877596898847,0.43482224247948953,51466.02000190551,-0.4853397999809449,0.3514471418527713,-0.08530634606161236,0.08480877928340695,-1.0086531864770634,-1.124897890518093,-0.38295127383299443,-0.22276031414590508,0.4945054945054945,67591.1028685134,-0.324088971314866,2003-12-30,2008-05-22
ARIMAX,0,RTX,-0.06148508357232696,0.07118511748592646,-0.8555508490794623,-0.9832163600622509,-0.341267265575818,-0.18016695351247236,0.44849589790337285,75672.49244557871,-0.2432750755442129,0.39629061307294394,0.006489857969188106,0.07103417517522873,0.12674429479827745,0.1412256448000312,-0.18686539341003638,0.03473012231295012,0.5191956124314442,102882.45196876631,0.028824519687663086,2003-12-30,2008-05-22
ARIMAX,0,BA,-0.018139140931560216,0.08030432262021966,-0.18781397592062918,-0.23182791162986668,-0.2556006796065827,-0.07096671636194296,0.49316317228805834,92273.40687502254,-0.07726593124977454,0.4045151794479735,0.054469087842212494,0.08043398367919578,0.6996321823888659,0.8570330090223425,-0.14638906249585393,0.3720844092689997,0.5521023765996343,126236.34876707845,0.26236348767078455,2003-12-30,2008-05-22
RandomForest,0,NVDA,0.09322765126748789,0.21643700463831386,0.5160818068601455,0.801868919095002,-0.2290431862870812,0.40703088696398493,0.48495897903372837,147927.92666903668,0.4792792666903667,0.1867843024403955,0.12984440424426769,0.2164031112994229,0.6684190005728914,1.0280173319307095,-0.208819978058169,0.6218006794737723,0.5082872928176796,170963.46337409926,0.7096346337409927,2003-12-30,2008-05-22
RandomForest,0,AAPL,-0.09865534165016498,0.16737303189328404,-0.5370733374137655,-0.6730292323837811,-0.4548595346589699,-0.2168918844894208,0.4658158614402917,63363.9322447848,-0.36636067755215196,0.20546161197547677,-0.06536455111275086,0.16731005129415746,-0.32065117465770565,-0.39644593426997776,-0.3794672291548482,-0.17225348090882892,0.4940421631530706,74308.00361387577,-0.2569199638612423,2003-12-30,2008-05-22
RandomForest,0,MSFT,-0.04145315372930847,0.09288890166175584,-0.40911725219518885,-0.4669750227074091,-0.19761016026017453,-0.20977238050275876,0.4402917046490428,83029.0446609685,-0.16970955339031502,0.2300988251988377,-0.0017390008936498669,0.09286508398963417,0.027857408259890845,0.03029519061616781,-0.15160127555711933,-0.011470885632454046,0.5004659832246039,99238.33225446581,-0.0076166774553418914,2003-12-30,2008-05-22
